Molecule ChEMBL ID,Molecule Name,Standardized_Smiles,pChEMBL Value,Molecular_Weight,AlogP,AlogP,HBD,HBA,RO5_Violations
CHEMBL199670,,O=C(CCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1cnHc2ccccc12,9.3,200.15,6.32,5.4,3.0,3.0,1.0
CHEMBL389192,,O=C(CCc1cnHc2ccccc12)NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.3,259.62,7.75,7.2,3.0,3.0,1.0
CHEMBL540178,,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)C(C)c2ccccc2OC)=CC1=O)C(C)c1ccccc1OC,9.3,456.32,7.39,8.0,8.0,8.0,2.0
CHEMBL427082,,O=C(CCCc1cnHc2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.3,247.60999999999999,7.36,6.7,3.0,3.0,1.0
CHEMBL3215816,,Cc1ccc2ccc(CNCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c(O)c2n1,9.3,212.16,7.22,5.9,3.0,3.0,1.0
CHEMBL5280980,,Cn+1ccc2c3ccccc3n(CCc3ccccc3)c2c1,9.3,36.03,3.86,1.5,0.0,0.0,0.0
CHEMBL4213792,,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1ccccc1,9.29,136.07,3.66,0.4,5.0,5.0,0.0
CHEMBL5219771,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2cccc(-c3cc(=O)c4ccccc4o3)c2)c1,9.28,224.13,6.64,2.9,6.0,6.0,1.0
CHEMBL5220283,,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(c2)O/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1,9.28,348.18,6.12,3.4,10.0,10.0,1.0
CHEMBL1085932,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,9.28,324.15999999999997,5.6,2.4,10.0,10.0,1.0
CHEMBL395280,HUPERZINE A,C/C=C1\C2C=C(C)CC1(N)c1ccc(=O)nHc1C2,9.27,150.10999999999999,2.0,4.2,2.0,2.0,0.0
CHEMBL128202,,CCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1,9.25,188.1,4.96,1.4,6.0,6.0,1.0
CHEMBL329231,,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,9.24,176.13,4.56,4.4,3.0,3.0,0.0
CHEMBL5082250,,N#Cc1ccc2nHcc(CCCCN3CCN(c4ccc(C(=O)CCC5CCN(Cc6ccccc6)CC5)cc4)CC3)c2c1,9.24,288.22,7.06,7.3,5.0,5.0,1.0
CHEMBL73160,,Clc1ccc2c(NCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,9.22,267.06,8.93,8.0,2.0,2.0,1.0
CHEMBL74927,,Fc1ccc2c(NCCCCCCCNc3c4c(nc5cc(F)ccc35)CCCC4)c3c(nc2c1)CCCC3,9.22,246.17000000000002,8.29,6.9,2.0,2.0,1.0
CHEMBL1198953,,Cn+1ccc2c3ccccc3n(CCCCCCCCCn3c4ccccc4c4ccn+(C)cc43)c2c1,9.22,132.10999999999999,6.98,5.5,0.0,0.0,1.0
CHEMBL5434553,,CCN+(CC)(CCCCCn1c(=O)cc(C)n(CCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1N+(=O)O-,9.22,328.19,3.1,4.9,8.0,8.0,1.0
CHEMBL4848527,,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCC(=O)NCc4ccnHc(=O)c4)c3C(C1)C2,9.2,311.65000000000003,7.03,8.0,4.0,4.0,1.0
CHEMBL382260,,COc1ccc2nHcc(CCNC(=O)CCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,9.19,228.16,6.32,5.4,4.0,4.0,1.0
CHEMBL3216422,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2,9.17,315.64,6.35,7.2,5.0,5.0,1.0
CHEMBL536047,,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,9.16,145.54,4.47,4.5,1.0,1.0,0.0
CHEMBL1669479,AMBENONIUM DICHLORIDE,CN+(C)(CCNC(=O)C(=O)NCCN+(C)(C)Cc1ccccc1Cl)Cc1ccccc1Cl,9.15,303.06,3.08,5.4,6.0,6.0,2.0
CHEMBL312761,,Fc1ccc2c(NCCCCCCCCNc3c4c(nc5cc(F)ccc35)CCCC4)c3c(nc2c1)CCCC3,9.15,258.18,8.68,7.4,2.0,2.0,1.0
CHEMBL223170,,N#Cc1ccc2nHcc(CCC(=O)NCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2c1,9.15,261.62,6.84,6.4,4.0,4.0,1.0
CHEMBL131579,,CNC(=O)Oc1cccc(CN(CCCOc2ccc3c(=O)c4ccccc4oc3c2)C(C)C)c1,9.15,200.11,5.34,1.9,6.0,6.0,1.0
CHEMBL1084544,,O=C(CCOCCc1cnHc2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.15,275.62,6.99,6.7,4.0,4.0,1.0
CHEMBL5218632,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc(-c3cc(=O)c4ccccc4o3)cc2)c1,9.14,224.13,6.64,2.9,6.0,6.0,1.0
CHEMBL3356536,,O=C1C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)=CC(=O)c2c(O)cccc21,9.14,231.57,4.44,3.7,5.0,5.0,0.0
CHEMBL4448188,,O=C(CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1cc2ccccc2nH1,9.14,223.59,6.58,5.7,3.0,3.0,1.0
