Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Potency Category
CHEMBL292314,,,232.71,0.0,3.35,t3,Nc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,'=',10.0,nM,8.0,,,UO_0000065,34.38,0.68,4.65,20.56,1,CHEMBL829154,Inhibitory activity against human erythrocyte acetylcholinesterase,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1138734,1,Scientific Literature,J Med Chem,2004.0,,,,,-8.0,Very Potent (8-9)
CHEMBL1084366,,,542.68,2.0,7.03,185,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,IC50,'=',68.0,nM,7.17,,,UO_0000065,13.21,0.24,0.14,8.85,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,68.0,Potent (7-8)
CHEMBL127857,,,643.82,2.0,7.0,17,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCCN2CCOCC2)c1,IC50,'=',29.3,nM,7.53,,,UO_0000065,11.7,0.22,0.53,8.06,1,CHEMBL3049408,Inhibition of acetylcholinesterase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL3046901,1,Scientific Literature,Med Chem Res,2011.0,,,,,29.3,Potent (7-8)
CHEMBL128551,,,438.52,0.0,4.58,14,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,IC50,'=',14.0,nM,7.85,,,UO_0000065,17.91,0.34,3.27,9.69,1,CHEMBL3049408,Inhibition of acetylcholinesterase (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL3046901,1,Scientific Literature,Med Chem Res,2011.0,,,,,14.0,Potent (7-8)
CHEMBL538573,,,686.6,2.0,10.44,18b,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2.Cl.Cl,IC50,'=',0.33,nM,9.48,,,UO_0000065,15.45,0.3,-0.96,19.02,0,CHEMBL828047,Inhibitory concentration against Acetylcholinesterase from human erythrocytes,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1142714,1,Scientific Literature,J Med Chem,2005.0,,,,,0.33,Extremely Potent (pIC50 ≥ 9)
CHEMBL93123,,,439.56,1.0,5.92,1j,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1,IC50,'=',9.397,nM,8.03,,,UO_0000065,18.26,0.33,2.11,13.75,1,CHEMBL641020,Inhibition against Acetylcholinesterase (AChE),B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1129655,1,Scientific Literature,J Med Chem,1996.0,,,,,0.973,Very Potent (8-9)
CHEMBL95,TACRINE,4.0,198.27,0.0,2.7,Tacrine,Nc1c2c(nc3ccccc13)CCCC2,IC50,'=',79.0,nM,7.1,,,UO_0000065,35.82,0.65,4.4,18.25,1,CHEMBL4410785,Inhibition of AChE (unknown origin) by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL4406906,1,Scientific Literature,Bioorg Med Chem Lett,2019.0,,,,,79.0,Potent (7-8)
CHEMBL3632992,,,564.17,2.0,7.27,7s,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,IC50,'=',100.0,nM,7.0,,,UO_0000065,12.41,0.24,-0.27,8.39,0,CHEMBL3635777,Inhibition of human recombinant AChE using acetylthiocholine as substrate preincubated for 5 mins followed by substrate addition measured every 2 mins by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL3632576,1,Scientific Literature,J Med Chem,2015.0,,,,,0.1,Potent (7-8)
CHEMBL4456928,,,574.77,2.0,9.43,"Fig 2, cpd n=2",c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3,IC50,'=',3.61,nM,8.44,,,UO_0000065,14.69,0.26,-0.99,16.94,0,CHEMBL4342665,Inhibition of human Acetylcholinesterase using acetylthiocholine as substrate preincubated for 20 mins followed by substrate addition by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL4342404,1,Scientific Literature,Bioorg Med Chem,2019.0,,,,,3.61,Very Potent (8-9)
CHEMBL140476,HUPRINE Y,,284.79,0.0,4.47,(-)-17e,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2,IC50,'=',0.78,nM,9.11,,,UO_0000065,31.98,0.62,4.64,23.41,1,CHEMBL4342688,Inhibition of human Acetylcholinesterase using acetylthiocholine as substrate incubated for 15 mins by Ellman's method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL4342404,1,Scientific Literature,Bioorg Med Chem,2019.0,,,,,0.00078,Extremely Potent (pIC50 ≥ 9)
CHEMBL418955,,,350.46,0.0,4.68,73,COc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,'=',8.8,nM,8.06,,,UO_0000065,22.99,0.42,3.38,20.92,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,8.8,Very Potent (8-9)
CHEMBL127527,,,366.51,0.0,4.35,124,COc1cccc(N(CCC2CCN(Cc3ccccc3)CC2)C(C)=O)c1,IC50,'=',46.0,nM,7.34,,,UO_0000065,20.02,0.37,2.99,22.38,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,46.0,Potent (7-8)
CHEMBL1083379,,,544.69,2.0,7.3,168,CCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,IC50,'=',100.0,nM,7.0,,,UO_0000065,12.85,0.24,-0.3,8.64,0,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,100.0,Potent (7-8)
CHEMBL2019048,,,642.62,2.0,7.55,24,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1.Cl,IC50,'=',0.035,nM,10.46,,,UO_0000065,17.25,0.33,2.91,9.2,0,CHEMBL2020732,Inhibition of human erythrocytes AChE by Ellman's method,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL2016543,1,Scientific Literature,J Med Chem,2012.0,,,,,0.035,Extremely Potent (pIC50 ≥ 9)
CHEMBL4176452,,,459.28,0.0,1.1,2h,COCCNC(=O)c1cc2c(OC(=O)N(C)C)cccc2[n+](C)c1.[I-],IC50,'=',20.0,nM,7.7,,,UO_0000065,23.16,0.44,6.6,10.73,0,CHEMBL4155648,Inhibition of human erythrocytes AChE using acetylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured every min for 10 mins by Ellman's method,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL4152292,1,Scientific Literature,Eur J Med Chem,2018.0,,,,,20.0,Potent (7-8)
CHEMBL502,DONEPEZIL,4.0,379.5,0.0,4.36,donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',16.0,nM,7.8,,,UO_0000065,20.54,0.38,3.44,20.11,1,CHEMBL3413435,Inhibition of recombinant human AChE expressed in HEK293 cells preincubated for 15 mins,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL3407435,1,Scientific Literature,J Med Chem,2014.0,CHEMBL3307715,,,,0.016,Potent (7-8)
CHEMBL502,DONEPEZIL,4.0,379.5,0.0,4.36,"2, donepezil",COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',23.0,nM,7.64,,,UO_0000065,20.13,0.37,3.28,19.7,1,CHEMBL945890,Inhibition of human AchE,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1141467,1,Scientific Literature,J Med Chem,2008.0,,,,,23.0,Potent (7-8)
CHEMBL127465,,,629.8,2.0,6.61,314,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCN2CCOCC2)c1,IC50,'=',27.4,nM,7.56,,,UO_0000065,12.01,0.22,0.95,8.09,1,CHEMBL1119333,Inhibition of AChE,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,CHEMBL1155460,1,Scientific Literature,Eur J Med Chem,2010.0,,,,,27.4,Potent (7-8)
